Ozet
Toplam asset,268
Toplam boyut (byte),149539392

Tur,Sayi
AnimSequence,97
StaticMeshActor,55
Texture2D,23
StaticMesh,15
Blueprint,12
MaterialInstanceConstant,11
Material,9
SkeletalMesh,5
PhysicsAsset,4
ControlRigBlueprint,4
Skeleton,4
InputAction,4
World,2
WidgetBlueprint,2
AnimBlueprint,2
AimOffsetBlendSpace,2
InputMappingContext,2
BlendSpace,1
AnimMontage,1
MaterialFunction,1
ObjectRedirector,1
SoundWave,1
NiagaraSystem,1
WorldDataLayers,1
SkyAtmosphere,1
DirectionalLight,1
PlayerStart,1
WorldPartitionMiniMap,1
SkyLight,1
ExponentialHeightFog,1
VolumetricCloud,1
ActorFolder,1

En Buyuk Asset,Boyut (byte)
/Game/Characters/Mannequins/Textures/Manny/T_Manny_02_BN,20999487
/Game/Characters/Mannequins/Rigs/CR_Mannequin_Body,16670724
/Game/Characters/Mannequins/Meshes/SK_SKM_Quinn_Simple,16252990
/Game/Characters/Mannequins/Meshes/SK_SKM_Manny_Simple,15828752
/Game/Weapons/GrenadeLauncher/Meshes/SK_SKM_GrenadeLauncher,2698246
/Game/Weapons/Rifle/Meshes/SK_SKM_Rifle,2584989
/Game/Characters/Mannequins/Rigs/CR_Mannequin_Procedural,2551364
/Game/Characters/Mannequins/Anims/Pistol/A_MF_Pistol_Idle_ADS,2068163
/Game/Characters/Mannequins/Anims/Pistol/Aim/A_MF_Pistol_Idle_ADS1,2056319
/Game/Weapons/GrenadeLauncher/Textures/T_FPGun_N,1734086
